metric,area,comp,suff
mae,0.05,3.389138,20.061125
mae,0.075,5.014184,19.119397
mae,0.1,6.403782,18.426993
mae,0.15,9.010236,16.520497
mse,0.05,1.232767,26.121071
mse,0.075,2.429036,23.940399
mse,0.1,3.675549,22.376668
mse,0.15,6.552761,18.306241
