metric,area,comp,suff
accuracy,0.05,0.980212,0.870338
accuracy,0.075,0.976916,0.872942
accuracy,0.1,0.973404,0.875289
accuracy,0.15,0.967978,0.88184
auc,0.05,0.799492,0.499654
auc,0.075,0.791236,0.535664
auc,0.1,0.780396,0.575177
auc,0.15,0.756722,0.630397
cross_entropy,0.05,0.087507,0.330909
cross_entropy,0.075,0.093588,0.325651
cross_entropy,0.1,0.101653,0.320715
cross_entropy,0.15,0.11982,0.308204
