metric,area,comp,suff
accuracy,0.05,0.992622,0.977648
accuracy,0.075,0.991536,0.97678
accuracy,0.1,0.990885,0.976088
accuracy,0.15,0.989583,0.975791
auc,0.05,0.290756,0.238923
auc,0.075,0.288609,0.258893
auc,0.1,0.284446,0.264453
auc,0.15,0.277696,0.272476
cross_entropy,0.05,0.079681,0.141464
cross_entropy,0.075,0.079494,0.14022
cross_entropy,0.1,0.08097,0.141485
cross_entropy,0.15,0.085487,0.136617
