dataset,attr_method,metric,model,itr_no,comp,suff
electricity,gatemask,mae,DLinear,1,7.566,13.834
electricity,gatemask,mae,DLinear,2,7.545,13.599
electricity,gatemask,mae,DLinear,3,7.803,13.861
electricity,gatemask,mae,MICN,1,9.744,12.354
electricity,gatemask,mae,MICN,2,9.613,12.623
electricity,gatemask,mae,MICN,3,9.671,12.402
electricity,gatemask,mae,SegRNN,1,4.63,16.454
electricity,gatemask,mae,SegRNN,2,4.519,16.363
electricity,gatemask,mae,SegRNN,3,4.506,16.205
electricity,gatemask,mae,iTransformer,1,5.857,18.804
electricity,gatemask,mae,iTransformer,2,5.954,18.532
electricity,gatemask,mae,iTransformer,3,6.068,18.584
electricity,wtsr,mae,DLinear,1,11.846,11.383
electricity,wtsr,mae,DLinear,2,11.578,11.177
electricity,wtsr,mae,DLinear,3,11.869,11.307
electricity,wtsr,mae,MICN,1,12.647,9.734
electricity,wtsr,mae,MICN,2,12.909,9.762
electricity,wtsr,mae,MICN,3,12.677,9.863
electricity,wtsr,mae,SegRNN,1,12.706,12.324
electricity,wtsr,mae,SegRNN,2,12.817,11.802
electricity,wtsr,mae,SegRNN,3,12.464,12.171
electricity,wtsr,mae,iTransformer,1,12.532,14.325
electricity,wtsr,mae,iTransformer,2,12.744,14.362
electricity,wtsr,mae,iTransformer,3,12.783,14.708
traffic,feature_ablation,mae,DLinear,1,10.342,22.334
traffic,feature_ablation,mae,DLinear,2,10.418,22.566
traffic,feature_ablation,mae,DLinear,3,10.313,22.243
traffic,feature_ablation,mae,MICN,1,9.837,16.405
traffic,feature_ablation,mae,MICN,2,10.042,16.068
traffic,feature_ablation,mae,MICN,3,10.28,16.819
traffic,feature_ablation,mae,SegRNN,1,13.883,17.906
traffic,feature_ablation,mae,SegRNN,2,13.438,17.968
traffic,feature_ablation,mae,SegRNN,3,13.003,17.73
traffic,feature_ablation,mae,iTransformer,1,9.291,22.881
traffic,feature_ablation,mae,iTransformer,2,9.322,22.768
traffic,feature_ablation,mae,iTransformer,3,9.308,22.862
traffic,augmented_occlusion,mae,DLinear,1,8.427,23.457
traffic,augmented_occlusion,mae,DLinear,2,8.594,23.78
traffic,augmented_occlusion,mae,DLinear,3,8.364,23.454
traffic,augmented_occlusion,mae,MICN,1,8.392,18.192
traffic,augmented_occlusion,mae,MICN,2,8.574,17.711
traffic,augmented_occlusion,mae,MICN,3,8.518,18.718
traffic,augmented_occlusion,mae,SegRNN,1,12.686,19.755
traffic,augmented_occlusion,mae,SegRNN,2,12.051,19.811
traffic,augmented_occlusion,mae,SegRNN,3,11.493,19.543
traffic,augmented_occlusion,mae,iTransformer,1,7.663,24.67
traffic,augmented_occlusion,mae,iTransformer,2,7.54,24.714
traffic,augmented_occlusion,mae,iTransformer,3,7.646,24.384
traffic,feature_permutation,mae,DLinear,1,7.448,24.746
traffic,feature_permutation,mae,DLinear,2,7.465,24.931
traffic,feature_permutation,mae,DLinear,3,7.46,24.662
traffic,feature_permutation,mae,MICN,1,6.966,19.43
traffic,feature_permutation,mae,MICN,2,7.171,18.875
traffic,feature_permutation,mae,MICN,3,7.304,19.958
traffic,feature_permutation,mae,SegRNN,1,10.854,20.753
traffic,feature_permutation,mae,SegRNN,2,10.436,20.528
traffic,feature_permutation,mae,SegRNN,3,9.992,20.697
traffic,feature_permutation,mae,iTransformer,1,7.232,24.785
traffic,feature_permutation,mae,iTransformer,2,7.234,24.624
traffic,feature_permutation,mae,iTransformer,3,7.256,24.538
