metric,area,comp,suff
mae,0.05,10.768589,24.296977
mae,0.075,12.803259,21.957482
mae,0.1,13.785227,20.650947
mae,0.15,15.598948,17.9021
mse,0.05,8.787963,34.244992
mse,0.075,11.823703,28.374143
mse,0.1,13.425092,25.330087
mse,0.15,16.583689,19.480118
