metric,area,comp,suff
mae,0.05,8.021962,18.555531
mae,0.075,8.817187,18.132562
mae,0.1,9.268299,17.845072
mae,0.15,10.273654,17.133135
mse,0.05,5.940896,22.889866
mse,0.075,6.75035,21.948741
mse,0.1,7.244472,21.321164
mse,0.15,8.445949,19.8313
