metric,area,comp,suff
mae,0.05,6.603388,19.284188
mae,0.075,8.181178,18.615223
mae,0.1,8.934796,18.137582
mae,0.15,10.389768,17.063369
mse,0.05,4.794265,24.882389
mse,0.075,6.333499,23.239076
mse,0.1,7.167899,22.108645
mse,0.15,8.948198,19.755806
