metric,area,comp,suff
mae,0.05,8.09573,12.691498
mae,0.075,9.354491,11.284697
mae,0.1,10.082822,10.343302
mae,0.15,11.263683,8.607515
mse,0.05,5.789218,11.28917
mse,0.075,7.257438,9.136396
mse,0.1,8.172099,7.796119
mse,0.15,9.713938,5.535171
