metric,area,comp,suff
accuracy,0.05,0.990234,0.980212
accuracy,0.075,0.988064,0.978041
accuracy,0.1,0.987413,0.977173
accuracy,0.15,0.985894,0.977173
auc,0.05,0.399496,0.350385
auc,0.075,0.394986,0.365464
auc,0.1,0.386175,0.371588
auc,0.15,0.369123,0.376094
cross_entropy,0.05,0.088304,0.106217
cross_entropy,0.075,0.090268,0.109967
cross_entropy,0.1,0.092628,0.112693
cross_entropy,0.15,0.095614,0.114894
