metric,area,comp,suff
mae,0.05,8.07839,26.350805
mae,0.075,10.533829,24.868563
mae,0.1,11.750221,24.088083
mae,0.15,14.026351,22.584782
mse,0.05,5.438944,39.617076
mse,0.075,8.335255,35.684474
mse,0.1,10.001627,33.706435
mse,0.15,13.486803,30.080659
