metric,area,comp,suff
mae,0.05,2.778418,28.907494
mae,0.075,3.744321,27.744825
mae,0.1,4.395038,26.919829
mae,0.15,5.705485,25.217636
mse,0.05,0.732574,47.405952
mse,0.075,1.227111,44.13821
mse,0.1,1.619822,41.857813
mse,0.15,2.563766,37.339074
