metric,area,comp,suff
mae,0.05,6.866511,20.122065
mae,0.075,8.985828,19.663117
mae,0.1,10.07445,19.352996
mae,0.15,12.148876,18.673433
mse,0.05,4.526289,26.231333
mse,0.075,6.840635,25.121352
mse,0.1,8.205053,24.400255
mse,0.15,11.101598,22.846002
