metric,area,comp,suff
accuracy,0.05,0.983724,0.987413
accuracy,0.075,0.982422,0.988498
accuracy,0.1,0.982205,0.986979
accuracy,0.15,0.982422,0.987413
auc,0.05,0.249165,0.251157
auc,0.075,0.228728,0.252422
auc,0.1,0.223413,0.251604
auc,0.15,0.216402,0.253687
cross_entropy,0.05,0.115797,0.125021
cross_entropy,0.075,0.120638,0.12498
cross_entropy,0.1,0.121921,0.125779
cross_entropy,0.15,0.123851,0.125589
