metric,area,comp,suff
accuracy,0.05,0.980171,0.969715
accuracy,0.075,0.976916,0.969497
accuracy,0.1,0.976048,0.969538
accuracy,0.15,0.974529,0.969538
auc,0.05,0.565075,0.512055
auc,0.075,0.543381,0.534043
auc,0.1,0.528491,0.544486
auc,0.15,0.513087,0.548332
cross_entropy,0.05,0.110828,0.152174
cross_entropy,0.075,0.116488,0.150584
cross_entropy,0.1,0.122267,0.148199
cross_entropy,0.15,0.130747,0.146398
