metric,area,comp,suff
accuracy,0.05,0.984375,0.982143
accuracy,0.075,0.986607,0.982143
accuracy,0.1,0.984375,0.979911
accuracy,0.15,0.982143,0.979911
auc,0.05,0.559908,0.423963
auc,0.075,0.550691,0.476958
auc,0.1,0.546083,0.5
auc,0.15,0.513825,0.534562
cross_entropy,0.05,0.102471,0.12802
cross_entropy,0.075,0.106646,0.124388
cross_entropy,0.1,0.109169,0.12212
cross_entropy,0.15,0.119713,0.116395
