metric,area,comp,suff
accuracy,0.05,0.974416,0.982143
accuracy,0.075,0.972184,0.982143
accuracy,0.1,0.979911,0.982143
accuracy,0.15,0.982143,0.982143
auc,0.05,0.428572,0.504608
auc,0.075,0.370968,0.529954
auc,0.1,0.331797,0.548387
auc,0.15,0.276498,0.559908
cross_entropy,0.05,0.142127,0.120166
cross_entropy,0.075,0.148811,0.117615
cross_entropy,0.1,0.152368,0.114913
cross_entropy,0.15,0.160768,0.10943
