metric,area,comp,suff
mae,0.05,5.514303,27.856716
mae,0.075,5.896919,27.842286
mae,0.1,6.869323,26.721788
mae,0.15,8.229374,25.613899
mse,0.05,2.56628,45.767733
mse,0.075,2.81118,45.729498
mse,0.1,3.743441,42.780947
mse,0.15,5.202122,39.9437
