metric,area,comp,suff
mae,0.05,7.908977,13.899854
mae,0.075,9.197493,12.847504
mae,0.1,9.886167,12.098159
mae,0.15,10.961776,10.623182
mse,0.05,5.523053,11.851801
mse,0.075,6.966203,10.328121
mse,0.1,7.787297,9.273275
mse,0.15,9.07845,7.358201
