metric,area,comp,suff
accuracy,0.05,0.504464,0.5
accuracy,0.075,0.502232,0.5
accuracy,0.1,0.5,0.5
accuracy,0.15,0.5,0.5
auc,0.05,0.884769,0.643992
auc,0.075,0.855558,0.674133
auc,0.1,0.828268,0.704323
auc,0.15,0.797792,0.73391
cross_entropy,0.05,4.928281,3.580774
cross_entropy,0.075,5.99054,4.555255
cross_entropy,0.1,6.721512,5.328205
cross_entropy,0.15,7.630157,6.480158
