metric,area,comp,suff
mae,0.05,5.423312,18.943612
mae,0.075,7.935138,17.483377
mae,0.1,9.216749,16.777308
mae,0.15,11.312175,15.375025
mse,0.05,3.553426,24.351973
mse,0.075,6.018639,20.890376
mse,0.1,7.420494,19.250656
mse,0.15,10.007525,16.13141
