metric,area,comp,suff
mae,0.05,10.698103,20.863913
mae,0.075,14.063133,20.892906
mae,0.1,15.644198,20.793077
mae,0.15,18.325588,20.340574
mse,0.05,8.375866,27.746003
mse,0.075,13.379638,27.648687
mse,0.1,16.151608,27.347306
mse,0.15,21.49222,26.235626
