metric,area,comp,suff
mae,0.05,7.543217,17.372926
mae,0.075,8.768474,16.657339
mae,0.1,9.419851,16.206157
mae,0.15,10.717427,15.229499
mse,0.05,5.490203,20.164985
mse,0.075,6.750462,18.599781
mse,0.1,7.49343,17.662751
mse,0.15,9.08796,15.704959
