metric,area,comp,suff
mae,0.05,10.91209,16.227213
mae,0.075,12.342015,14.982025
mae,0.1,13.101404,14.181682
mae,0.15,14.48861,12.558759
mse,0.05,9.635587,17.451917
mse,0.075,11.641091,15.0165
mse,0.1,12.788002,13.553612
mse,0.15,15.061379,10.790428
