metric,area,comp,suff
mae,0.05,1.424637,23.144507
mae,0.075,2.323258,22.551582
mae,0.1,2.958805,22.197897
mae,0.15,4.474845,21.265821
mse,0.05,0.212803,30.756306
mse,0.075,0.478827,29.321154
mse,0.1,0.740103,28.495587
mse,0.15,1.61304,26.463306
