metric,area,comp,suff
accuracy,0.05,0.611779,0.993304
accuracy,0.075,0.616243,0.991071
accuracy,0.1,0.616243,0.988839
accuracy,0.15,0.611779,0.991071
auc,0.05,0.60513,1.0
auc,0.075,0.608624,1.0
auc,0.1,0.609815,1.0
auc,0.15,0.609738,1.0
cross_entropy,0.05,1.146771,0.36627
cross_entropy,0.075,1.149256,0.36231
cross_entropy,0.1,1.147159,0.361278
cross_entropy,0.15,1.151721,0.35557
