metric,area,comp,suff
accuracy,0.05,0.986979,0.978082
accuracy,0.075,0.98329,0.978733
accuracy,0.1,0.98112,0.980469
accuracy,0.15,0.979601,0.980903
auc,0.05,0.424105,0.368753
auc,0.075,0.414833,0.391922
auc,0.1,0.403593,0.404127
auc,0.15,0.380199,0.402872
cross_entropy,0.05,0.095852,0.146424
cross_entropy,0.075,0.099884,0.145836
cross_entropy,0.1,0.104409,0.145425
cross_entropy,0.15,0.111178,0.143945
