metric,area,comp,suff
accuracy,0.05,0.964286,0.986607
accuracy,0.075,0.964286,0.991071
accuracy,0.1,0.964286,0.993304
accuracy,0.15,0.964286,0.991071
auc,0.05,0.327441,0.571429
auc,0.075,0.266694,0.571429
auc,0.1,0.25134,0.571429
auc,0.15,0.260977,0.571429
cross_entropy,0.05,0.244277,0.197134
cross_entropy,0.075,0.245096,0.198241
cross_entropy,0.1,0.243526,0.200875
cross_entropy,0.15,0.239365,0.205292
