metric,area,comp,suff
accuracy,0.05,0.964286,0.986607
accuracy,0.075,0.964286,0.988839
accuracy,0.1,0.964286,0.988839
accuracy,0.15,0.964286,0.986607
auc,0.05,0.285476,0.56682
auc,0.075,0.24898,0.56682
auc,0.1,0.250463,0.56682
auc,0.15,0.26262,0.571429
cross_entropy,0.05,0.237709,0.201664
cross_entropy,0.075,0.243076,0.198483
cross_entropy,0.1,0.247455,0.193771
cross_entropy,0.15,0.252211,0.1866
