metric,area,comp,suff
accuracy,0.05,0.957761,0.977679
accuracy,0.075,0.957761,0.977679
accuracy,0.1,0.957761,0.984375
accuracy,0.15,0.957761,0.991071
auc,0.05,0.446275,0.857143
auc,0.075,0.377112,0.857143
auc,0.1,0.332565,0.857143
auc,0.15,0.316936,0.857143
cross_entropy,0.05,0.25471,0.201206
cross_entropy,0.075,0.255607,0.201728
cross_entropy,0.1,0.255494,0.202696
cross_entropy,0.15,0.254212,0.204242
